Month	DayOfWeek	Expenses
January	Monday	816
January	Tuesday	624
January	Wednesday	470
January	Thursday	429
January	Friday	173
January	Saturday	220
January	Sunday	527
February	Monday	579
February	Tuesday	302
February	Wednesday	943
February	Thursday	407
February	Friday	898
February	Saturday	334
February	Sunday	801
March	Monday	597
March	Tuesday	584
March	Wednesday	899
March	Thursday	311
March	Friday	906
March	Saturday	823
March	Sunday	466
April	Monday	805
April	Tuesday	162
April	Wednesday	709
April	Thursday	625
April	Friday	694
April	Saturday	634
April	Sunday	815
May	Monday	719
May	Tuesday	769
May	Wednesday	863
May	Thursday	787
May	Friday	947
May	Saturday	453
May	Sunday	482
June	Monday	161
June	Tuesday	746
June	Wednesday	195
June	Thursday	235
June	Friday	323
June	Saturday	215
June	Sunday	978
July	Monday	580
July	Tuesday	129
July	Wednesday	116
July	Thursday	489
July	Friday	328
July	Saturday	895
July	Sunday	299
August	Monday	535
August	Tuesday	669
August	Wednesday	151
August	Thursday	478
August	Friday	327
August	Saturday	652
August	Sunday	756
September	Monday	167
September	Tuesday	104
September	Wednesday	437
September	Thursday	480
September	Friday	716
September	Saturday	843
September	Sunday	481
October	Monday	974
October	Tuesday	803
October	Wednesday	105
October	Thursday	636
October	Friday	222
October	Saturday	781
October	Sunday	933
November	Monday	189
November	Tuesday	357
November	Wednesday	733
November	Thursday	134
November	Friday	749
November	Saturday	987
November	Sunday	210
December	Monday	543
December	Tuesday	569
December	Wednesday	271
December	Thursday	764
December	Friday	435
December	Saturday	256
December	Sunday	471
