Month	DayOfWeek	Expenses
January	Monday	200
January	Monday	220
January	Monday	210
February	Monday	230
February	Monday	240
February	Monday	250
January	Tuesday	180
January	Tuesday	190
January	Tuesday	200
February	Tuesday	210
February	Tuesday	220
February	Tuesday	230
January	Wednesday	160
January	Wednesday	170
January	Wednesday	180
February	Wednesday	190
February	Wednesday	200
February	Wednesday	210
January	Thursday	140
January	Thursday	150
January	Thursday	160
February	Thursday	170
February	Thursday	180
February	Thursday	190
January	Friday	120
January	Friday	130
January	Friday	140
February	Friday	150
February	Friday	160
February	Friday	170
January	Saturday	100
January	Saturday	110
January	Saturday	120
February	Saturday	130
February	Saturday	140
February	Saturday	150
January	Sunday	80
January	Sunday	90
January	Sunday	100
February	Sunday	110
February	Sunday	120
February	Sunday	130
